 Psychology and  Personality Psychology: 1.5910'
' Uploading and  Philosophy Of Mathematics: 1.7114'
' Technology and  Market Research: 1.2816'
' Psychology and  Psychoanalysis: 1.6955'
' Biochemistry and  Chemistry: 1.6336'
' Entrepreneurship and  Leadership: 1.3811'
' Physics and  Economics: 1.2268'
' Engineering and  Chemistry: 1.4278'
' Cognitive Psychology and  Teacher Education: 1.3596'
' Electrical Engineering and  Mechanical Engineering: 1.2906'
' Cognitive Psychology and  Business Management: 1.0374'
' Cultural Studies and  Gender: 1.6736'
' Discourse Analysis and  Teacher Education: 1.0836'
' Religion and  Gender: 1.3094'
' Digital Media and  Social Media: 1.4660'
' Earth Sciences and  Environmental Science: 1.2824'
' Business and  Biology: 1.2656'
' Music and  Music History: 1.5105'
' International Marketing and  Wine Marketing: 1.7639'
' Teacher Education and  English: 1.2760'
' Banking and  International Finance: 1.8120'
' Computer Science and  Computer Security: 1.5276'
' Mechanical Engineering and  Education: 1.9806'
' Education and  Fashion: 1.0106'
' International Relations and  Political Economy and History: 1.4221'
' Pharmacology and  Pharmacy: 1.7208'
' Anthropology and  Development Studies: 1.3395'
' Gender and  Feminism: 1.0000'
' Mathematics and  Social Sciences: 1.2404'
' Numerical Analysis and  Simulation: 1.3852'
' Mathematics and  Economics: 1.1587'
' Computer Science and  Political Science: 1.4820'
' Machine Learning and  Cloud Computing: 1.0641'
' Geography and  Climate Change: 1.5071'
' Nanomaterials and  Nanotechnology: 1.0443'
' Consumer Behavior and  Marketing Research: 1.2406'
' Development Studies and  Development Economics: 1.4716'
' Sociology and  Ethics: 1.0293'
' Science Communication and  Ecology: 1.0067'
' Literature and  Political Science: 1.1232'
' Gender and  Culture: 1.7836'
' Philosophy and  Michel Foucault: 1.0145'
' Education and  Qualitative methodology: 1.5421'
' Simulation and  Computational Mathematics: 1.0647'
' Media Studies and  Film Studies: 1.6519'
' Sociology and  Urban Studies: 1.1170'
' Comparative Law and  Civil Law: 1.9113'
' Critical Theory and  Cultural Theory: 1.1484'
' Computer Science and  Web Design: 1.6671'
' Literature and  English: 1.8144'
' Philosophy Of Science and  Education: 1.2096'
' Evolutionary Biology and  Ecology: 1.6811'
' Immunology and  Molecular Biology: 1.7912'
' Zoology and  Biodiversity: 1.0060'
' Critical Theory and  Political Philosophy: 1.8126'
' History and  Media Studies: 1.1833'
' Islamic Law and  Islamic Studies: 1.5464'
' Ethics and  Human Rights: 1.4390'
' Armenian Studies and  Human Resource Management: 1.2387'
' Sociology and  Qualitative methodology: 1.4411'
' Social Networking and  Social Media: 1.8941'
' Sociolinguistics and  English: 1.3956'
' Climate Change and  Global Warming: 1.2222'
' Engineering and  Water quality: 1.3809'
' History and  Teacher Education: 1.3037'
' Structural Geology and  Geology: 1.4339'
' Brand Management and  Consumer Behavior: 1.2791'
' Electrical Engineering and  Electrical and Computer Engineering (ECE): 1.3169'
' Economic History and  Economics: 1.0804'
' Electrical Engineering and  Embedded Systems: 1.2587'
' Middle East Studies and  Middle East Politics: 1.4042'
' Cultural Studies and  Architecture: 1.6961'
' Business and  Information Systems: 1.1201'
' History and  English: 1.0469'
' Physics and  Science Education: 1.8018'
' Archaeology and  Classics: 1.6521'
' Computer Engineering and  Information Technology: 1.6135'
' Gender Studies and  International Relations: 1.3865'
' International Relations and  Biology: 1.0052'
' Architecture and  Biology: 1.0024'
' Critical Theory and  International Relations: 1.4191'
' Communication and  Leadership: 1.4336'
' Education and  Journalism: 1.2953'
' Education and  New Media: 1.6604'
' International Relations and  Gender: 1.2905'
' Ethics and  Philosophy Of Religion: 1.0749'
' Engineering and  Biology: 1.1609'
' Botany and  Biodiversity: 1.1756'
' Engineering and  Natural Language Processing: 1.3678'
' Cultural Studies and  Social Media: 1.7186'
