source_id target_id weight
465 491 2.0712
221 242 1.5910
767 4486 4.4219
459241 2509 1.7114
923 13257 1.2816
2592 5878 2.1661
221 244 1.6955
1452 18845 2.2197
48 923 3.2721
145 523 1.6336
27 2969 1.3811
498 724 1.2268
48 523 1.4278
236 1601 1.3596
49 60 1.2906
236 55840 1.0374
2467 7710 4.7534
39 724 5.7755
188 7024 1.6736
4486 18845 2.0190
422 498 4.8454
915 2418 3.4487
184 18845 2.3962
26 48 2.4283
94 1601 1.0836
26 1237 51.0712
392 803 2.3125
885 6223 4.8552
106 7024 1.3094
922 951 2.4091
2869 9246 1.4660
400 402 1.2824
1237 7710 2.6754
7725 16742 2.4047
671 797 3.7077
26 7710 1.2656
724 3490 4.2320
671 687 3.0030
922 7024 2.3997
803 814 7.7908
671 685 1.5105
188 7125 2.6454
10679 145209 1.7639
1601 6223 1.2760
6908 25116 1.8120
813 814 3.5534
128 724 6.5500
1446 2853 3.7476
422 13923 1.5276
184 797 14.5181
128 951 2.3960
9846 18845 4.6011
48 2738 2.6904
38 859 2.3755
60 922 1.9806
922 638520 1.0106
797 385234 1.4221
696 2418 4.2969
188 767 5.0276
140 656 1.7208
1003 1609 3.6557
48 72 3.5451
767 977 1.3395
7024 10453 1.0000
300 1237 1.2404
12022 48636 1.3852
300 724 1.1587
422 4486 1.4820
2008 26860 1.0641
188 4486 2.1960
767 18845 2.2010
803 1200 2.2204
188 915 2.5464
261 1512 1.5071
38 922 3.8642
188 4195 2.5236
11973 17733 1.0443
184 671 4.1818
73 922 2.2771
9538 13258 1.2406
47 25116 2.0149
797 803 7.0373
145 2513 2.5497
977 727 1.4716
184 814 1.0293
1279 9846 1.0067
2418 4486 1.1232
7024 7125 1.7836
803 11927 1.0145
797 2575 6.3680
922 3136 1.5421
767 3499 2.5795
48636 27305 1.0647
392 42197 2.3339
928 1555 1.6519
184 7725 1.1170
821 2509 4.0741
1372 18845 5.4612
546 548 1.9113
8 4195 1.1484
26 4486 2.7515
422 1614 1.6671
2418 6223 1.8144
821 922 1.2096
184 7125 4.4021
803 2065 2.4051
422 1380 12.9853
1200 7709 3.6321
803 815 2.5001
155 9846 1.6811
1290 2513 1.7912
1601 3392 3.0921
4486 5709 2.2157
173 17825 1.0060
8 813 1.8126
128 928 1.1833
39 2065 2.4584
540 11150 1.5464
221 1237 8.2307
814 2592 1.4390
5398 2513 4.1450
1707 6416 1.2387
261 767 2.5624
184 3136 1.4411
922 15674 2.3569
859 7125 2.2256
2553 9246 1.8941
422 922 22.6004
2524 6223 1.3956
1512 45405 1.2222
48 4523 1.3809
128 1601 1.3037
1419 406 1.4339
1300 9538 1.2791
1237 2418 12.2667
49 1224548 1.3169
128 221 8.1292
137 724 1.0804
49 5473 1.2587
146 2008 2.9887
2015 18623 1.4042
188 1372 1.6961
26 37 1.1201
128 6223 1.0469
48 18845 2.9845
221 237 4.1249
498 1736 1.8018
184 724 9.5365
392 816 1.6521
1380 491 1.6135
696 797 1.3865
797 7710 1.0052
47 3490 9.8660
392 393 2.8007
1372 7710 1.0024
26 38 8.5349
38 1237 2.6207
392 7870 2.0094
27 859 4.5737
8 797 1.4191
803 859 7.3708
859 2969 1.4336
26 47 6.9159
922 994 1.2953
922 933 1.6604
797 7024 1.2905
814 902 1.0749
48 7710 1.1609
148 17825 1.1756
48 1432 1.3678
188 9246 1.7186
184 859 6.4427
402 9846 1.4101
392 7125 1.5943
49 2738 2.5717
1609 1000 1.0570
422 2009 6.8356
767 1237 17.3006
724 922 15.9393
859 4730 1.0532
449 2009 1.6463
523 9846 1.0384
491 4252 1.0752
922 928 2.2623
2418 7024 1.6320
261 2418 2.2936
1094 1601 1.1216
26 3490 3.1072
261 797 10.2531
4808 18845 1.4374
821 3723 8.3949
221 803 15.0166
859 4986 1.0062
422 491 11.7398
26 261 5.7725
49837 92517 2.9493
10679 46271 2.1695
2575 4486 1.9158
922 2969 1.4445
26 13257 3.0646
2482 4252 1.7670
173 7710 1.1933
188 803 5.5310
4486 385234 1.4177
1512 4524 1.8167
65733 55840 1.0100
39 29575 1.0797
145 7710 1.5943
221 248 9.3996
128 2418 8.2811
1555 3301 1.4310
8 767 1.5532
799 801 3.3156
60 62 1.6136
60 2298 1.1926
4714 4917 1.2852
1237 491 1.0666
797 5878 2.7708
1200 1237 1.2230
803 915 5.7676
221 4486 2.4019
922 9846 1.0770
1007 6223 1.3681
1200 7125 1.0199
922 1372 6.9468
26 55840 1.8277
103213 5398 1.0646
803 3723 1.0888
38 55840 1.6476
422 1237 6.4844
27 39 2.9895
38 491 1.0865
422 2345 2.0824
2467 18845 1.4276
188 696 4.5264
821 22760 3.4195
3490 3492 1.9531
221 3279 1.1114
1241 1609 1.0207
5709 7125 1.3640
7710 18845 4.5381
988 1372 3.9500
922 2277 1.0139
797 922 23.9058
797 1439 1.3893
2738 14084 1.1403
184 208 1.3351
1432 9336 1.3134
248 1237 2.2391
128 2592 1.2733
128 15588 1.9391
767 797 8.8434
803 61251 1.1444
48 128 1.0371
189 537 1.0879
47 7292 1.4117
